model	term	estimate	ci_lo	ci_hi	excludes_zero
qwen3-4b	cat=PYA	-4.15	-14.06	5.53	
qwen3-4b	cat=NEO	-4.81	-12.98	2.40	
qwen3-4b	cat=MIX	-11.50	-20.67	-3.24	yes
qwen3-4b	length_z	-3.15	-5.15	-1.48	yes
qwen3-4b	editdist_z	4.07	1.95	6.20	yes
qwen3-8b	intercept	12.28	5.64	19.71	yes
qwen3-8b	cat=PYA	-3.70	-13.05	5.92	
qwen3-8b	cat=NEO	-3.75	-11.44	3.10	
qwen3-8b	cat=MIX	-9.25	-17.61	-1.34	yes
qwen3-8b	length_z	-3.05	-4.95	-1.54	yes
qwen3-8b	editdist_z	3.86	2.21	5.69	yes
