uid	table	category	src_noisy	src_clean	ref_en	noise_span	noise_gold_en	noise_std	source_meta
A-PYA-004	A	PYA	好可爱cpdd...	好可爱想找对象...	So cute—looking for someone to date...	cpdd	looking for someone to date ‖ want to date	想找对象	CSM
A-PYA-005	A	PYA	Chuan搭🔴⚪️红白配	穿搭🔴⚪️红白配	Outfit 🔴⚪️ red and white.	Chuan搭	Chuan-da ‖ outfit	穿搭	CSM
A-PYA-006	A	PYA	xhs是得加个翻译功能了	小红书是得加个翻译功能了	Xiaohongshu really needs to add a translation feature.	xhs	XHS ‖ Xiaohongshu	小红书	CSM
A-PYA-007	A	PYA	愿逆风如解意，蛇年多挣RMB	愿逆风如解意，蛇年多挣人民币	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.	RMB	RMB ‖ yuan	人民币	CSM
A-PYA-008	A	PYA	说 WOC 和 NB 欢迎来中国旅游和交朋友	说 我操 和 NB 欢迎来中国旅游和交朋友	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!	WOC	WOC ‖ holy crap	我操	CSM
A-PYA-009	A	PYA	还是得看对口白话 对口白话兄弟yyds	还是得看对口白话 对口白话兄弟永远的神	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.	yyds	YYDS ‖ forever the god	永远的神	CSM
A-PYA-010	A	PYA	一打开小红书发现变成国际版le	一打开小红书发现变成国际版了	I opened Xiaohongshu and found it had turned into an international app.	le	le ‖ particle	了	CSM
A-PYA-011	A	PYA	💙15w左右女生建议入手的BBA二手车	💙15万左右女生建议入手的BBA二手车	💙 Recommended used BBA cars for women with a budget of around ¥150,000.	15w左右	around 150k	15万左右	CSM
A-PYA-012	A	PYA	上次还有人说瘦的是P的 搞不懂根本搞不懂	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.	P的	photoshopped	修图的	CSM
A-NEO-001	A	NEO	中中中哦[doge]	好好好哦[doge]	Okay, okay, okay [doge].	中中中	okay, okay, okay ‖ all right, all right, all right	好好好	CSM
A-NEO-002	A	NEO	噗哈哈哈还是你6666	噗哈哈哈还是你最厉害	Pfft, hahaha—you're still the best!	6666	awesome ‖ amazing ‖ impressive	最厉害	CSM
A-NEO-003	A	NEO	想到他们的“快乐水”	想到他们的“可乐”	Thinking about their so-called “happy water”—Coke.	快乐水	Coke ‖ cola ‖ soda	可乐	CSM
A-NEO-004	A	NEO	来了中中中	来了好好好	I'm here—okay, okay, okay!	中中中	okay, okay, okay ‖ all right, all right, all right	好好好	CSM
A-NEO-005	A	NEO	割肉？22年1.1买的，1.7算割肉吗	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?	割肉	sell at a loss ‖ take a loss ‖ cut one's losses	亏本卖出	CSM
A-NEO-006	A	NEO	不在鱼上了吗	不在闲鱼上了吗	Aren't you selling it on Xianyu anymore?	鱼	Xianyu	闲鱼	CSM
A-NEO-007	A	NEO	巴拉巴拉说的啥	说了这么多，到底在说什么	After all that rambling, what are you even talking about?	巴拉巴拉说的啥	what are you rambling about ‖ what are you even talking about	说了这么多，到底在说什么	CSM
A-NEO-008	A	NEO	这是老广啊	这是广东本地人啊	That's a true Guangdong local.	老广	Guangdong local ‖ native Cantonese	广东本地人	CSM
A-NEO-009	A	NEO	交?已关[doge]	互相关注?已经关注[doge]	Want to be mutuals? I have already followed you. [doge]	交 ‖ 已关	be mutuals ‖ already followed	互相关注 ‖ 已经关注	CSM
A-NEO-010	A	NEO	多的不说，给我中中中	多的不说，希望我能中奖	Enough talk—hope I win!	给我中中中	let me win ‖ hope I win	希望我能中奖	CSM
A-NEO-011	A	NEO	五！老！师！我！想！你！了！	五条悟老师我！想！你！了！	Gojo-sensei! I miss you!	五！老！师！	Gojo-sensei ‖ Mr. Gojo	五条悟老师	CSM
A-NEO-012	A	NEO	杭州现货，价格美丽	杭州现货，价格很划算	In stock in Hangzhou at a great price.	价格美丽	great price ‖ attractively priced ‖ good value	价格很划算	CSM
A-NEO-013	A	NEO	318走🐟（24/6生产日期）	318通过闲鱼交易（24/6生产日期）	¥318 via Xianyu (manufactured in June 2024).	走🐟	trade through Xianyu ‖ sell via Xianyu	通过闲鱼交易	CSM
A-NEO-014	A	NEO	蹲了很久[doge]	等了很久[doge]	I've been waiting a long time [doge].	蹲	wait ‖ keep waiting	等	CSM
A-NEO-015	A	NEO	蹲蹲哈哈	在这里等候哈哈	Waiting, waiting, haha.	蹲蹲	waiting here ‖ interested and waiting	在这里等候	CSM
A-NEO-016	A	NEO	3.0下配套的限时常驻自选池子呀	3.0下半期配套的限时常驻自选卡池呀	It’s the limited-time permanent-character selector banner that comes with the second half of Version 3.0.	下 ‖ 池子	second half ‖ selectable banner	下半期 ‖ 卡池	CSM
A-NEO-017	A	NEO	体育西路，珠江新城可带，3号线都可以带	体育西路，珠江新城可交付，3号线都可以交付	I can meet at Tiyu Xilu, Zhujiang New Town, or anywhere along Guangzhou Metro Line 3.	带	deliver ‖ meet for handoff	交付	CSM
A-NEO-018	A	NEO	老六，666	出其不意的人，太厉害了	You little schemer—well played!	老六 ‖ 666	sneaky one ‖ well played	出其不意的人 ‖ 太厉害了	CSM
A-NEO-019	A	NEO	直接多少，🐟跳转不了	直接多少，闲鱼跳转不了	How much for it directly? I can’t open the Xianyu link.	🐟	Xianyu	闲鱼	CSM
A-NEO-020	A	NEO	这个❤️是🐴扁	这个点赞是骗来的	That like was obtained by tricking people.	❤️ ‖ 🐴扁	like ‖ obtained by deception	点赞 ‖ 骗来的	CSM
A-NEO-021	A	NEO	重庆，九龙坡蹲	重庆，九龙坡寻找本地卖家	Looking for a local seller in Jiulongpo, Chongqing.	蹲	looking for a local seller ‖ waiting for a local seller	寻找本地卖家	CSM
A-NEO-022	A	NEO	宝宝黄色毛衣有链接吗	宝贝黄色毛衣有链接吗	Babe, do you have a link to the yellow sweater?	宝宝	babe ‖ bestie ‖ dear	宝贝	CSM
A-NEO-023	A	NEO	耳朵动起来好可爱啊QQ弹弹	耳朵动起来好可爱啊柔软又有弹性	The way its ears wiggle is so cute—they look soft and bouncy.	QQ弹弹	soft and bouncy ‖ squishy and springy	柔软又有弹性	CSM
A-NEO-024	A	NEO	许愿温迪伴生金温迪宝宝保佑我	希望抽到温迪和他的专属武器温迪宝宝保佑我	Manifesting Venti and his signature weapon—Venti, please bless my pulls!	许愿温迪伴生金	hope to pull Venti and his signature weapon ‖ manifesting Venti and his signature weapon	希望抽到温迪和他的专属武器	CSM
A-NEO-025	A	NEO	无盒200出	无盒200出售	No original box; selling for ¥200.	出	sell ‖ for sale	出售	CSM
A-NEO-026	A	NEO	接出血停止，积血消失，宝宝健康平安出生。	希望出血停止，积血消失，宝宝健康平安出生。	Praying that the bleeding stops, the hematoma disappears, and the baby is born safe and healthy.	接	praying for ‖ hoping for ‖ manifesting	希望	CSM
A-NEO-027	A	NEO	卡皮巴拉土豆豚12星座插画头像表情包原创	卡皮巴拉12星座插画头像表情包原创	Original capybara zodiac illustrations for profile pictures and stickers.	卡皮巴拉土豆豚	capybara	卡皮巴拉	CSM
A-NEO-028	A	NEO	台州本地蹲蹲	台州寻找本地卖家	Looking for a local seller in Taizhou.	本地蹲蹲	looking for a local seller ‖ seeking a local seller	寻找本地卖家	CSM
A-NEO-029	A	NEO	已私，求图，谢谢	已经发私信了，想要图片，谢谢	I've sent you a DM. Could I get the picture? Thanks.	已私 ‖ 求图	sent a DM ‖ asking for the picture	已经发私信了 ‖ 想要图片	CSM
A-NEO-030	A	NEO	滴我滴我[doge]	私信我私信我[doge]	DM me, DM me. [doge]	滴我滴我	DM me ‖ message me	私信我私信我	CSM
A-NEO-031	A	NEO	！！！！同担啊！！！！！	！！！！喜欢同一个偶像的人啊！！！！！	We’re fans of the same idol!!!!!	同担	fellow fan ‖ fan of the same idol	喜欢同一个偶像的人	CSM
A-NEO-032	A	NEO	雀魂 和 for the king+1	雀魂 和 for the king，我也是	Mahjong Soul and For the King—same here!	+1	same here ‖ me too	，我也是	CSM
A-NEO-033	A	NEO	人不开心，也要咪哄	人不开心，也要让猫咪哄	Even when you're feeling down, let a cat cheer you up.	咪哄	let a cat cheer you up ‖ feline comfort	让猫咪哄	CSM
A-NEO-034	A	NEO	➕吗宝宝	互相加好友吗宝宝	Babe, want to add each other as friends?	➕	add each other as friends ‖ connect as friends	互相加好友	CSM
A-NEO-035	A	NEO	蹲蹲，南南新年快乐	在这里等待，南南新年快乐	Waiting here. Happy New Year, Nannan!	蹲蹲	waiting here ‖ staying tuned	在这里等待	CSM
A-NEO-036	A	NEO	蹲蹲，好可爱啊	在这里等待，好可爱啊	Waiting here—this is so cute!	蹲蹲	waiting here ‖ staying tuned	在这里等待	CSM
A-NEO-037	A	NEO	我去，这个帅啊	天啊，这个帅啊	Whoa, this is so cool!	我去	whoa ‖ damn ‖ oh wow	天啊	CSM
A-NEO-038	A	NEO	你是手控吗？	你是特别喜欢好看的手的人吗？	Are you really into attractive hands?	手控	hand enthusiast ‖ someone attracted to hands	特别喜欢好看的手的人	CSM
A-NEO-039	A	NEO	卷成这样了	竞争已经这么激烈了	Has the competition really gotten this intense?	卷成这样了	competition has gotten this intense ‖ this cutthroat	竞争已经这么激烈了	CSM
A-NEO-040	A	NEO	宝接昼吗	宝贝接受夏以昼相关的委托吗	Babe, do you take commissions for Caleb from Love and Deepspace?	宝 ‖ 接昼	babe ‖ take Caleb commissions	宝贝 ‖ 接受夏以昼相关的委托	CSM
A-NEO-041	A	NEO	老师我也想要你	卖家我也想要这个商品	I want one too, please.	老师 ‖ 要你	seller ‖ want one from you	卖家 ‖ 要这个商品	CSM
A-NEO-042	A	NEO	第二捏~欢迎欢迎	我是第二个~欢迎欢迎	I'm second—welcome, welcome!	第二捏	I'm second ‖ second here	我是第二个	CSM
A-NEO-043	A	NEO	敦门永恒！	永远支持蒋敦豪！	Team Jiang Dunhao forever!	敦门永恒	Team Jiang Dunhao forever ‖ always support Jiang Dunhao	永远支持蒋敦豪	CSM
A-NEO-044	A	NEO	瓜哥三分爆头	卡梅隆·安东尼投进了一记关键三分球	Melo drills a three-pointer!	瓜哥三分爆头	Melo drills a three ‖ Carmelo Anthony hits a clutch three	卡梅隆·安东尼投进了一记关键三分球	CSM
A-NEO-045	A	NEO	蹲蹲第一个羊羔毛外套的链接	等待第一个羊羔毛外套的链接	Waiting for the link to the first shearling jacket.	蹲蹲	waiting for ‖ looking for	等待	CSM
A-NEO-046	A	NEO	接接接 借你吉言	我接受这份祝福 借你吉言	Claiming it, claiming it, claiming it—thanks for the good wishes.	接接接	accepting this blessing ‖ claiming this blessing	我接受这份祝福	CSM
A-NEO-047	A	NEO	瑶瑶公主，蹲蹲蹲蹲	瑶瑶公主，一直在寻找	Still waiting for Princess Yaoyao.	蹲蹲蹲蹲	still looking for ‖ waiting for	一直在寻找	CSM
A-NEO-048	A	NEO	啊呀蹲蹲现代狼尾张邈	啊呀寻找现代狼尾张邈	Ah, waiting for modern wolf-cut Zhang Miao.	蹲蹲	looking for ‖ seeking	寻找	CSM
A-NEO-049	A	NEO	楼主的意思是“这就是他想来的地方”	发帖人的意思是“这就是他想来的地方”	The OP means, “This is exactly where he wanted to come.”	楼主	OP ‖ original poster	发帖人	CSM
A-NEO-050	A	NEO	05辽宁的	2005年出生，来自辽宁	Born in 2005, from Liaoning.	05辽宁的	born in 2005, from Liaoning ‖ a Liaoning native born in 2005	2005年出生，来自辽宁	CSM
A-NEO-051	A	NEO	番禺 我司招聘前台。真实有效。🉑️滴滴	番禺 我司招聘前台。真实有效。可以私信联系	Our company in Panyu, Guangzhou, is hiring a receptionist. This is a genuine vacancy—DM me if interested.	🉑️滴滴	feel free to DM ‖ message me	可以私信联系	CSM
A-NEO-052	A	NEO	嘤嘤嘤～～快回来	我很难过～～快回来	I'm so sad~~ Please come back soon.	嘤嘤嘤	sob sob ‖ I'm so sad	我很难过	CSM
A-NEO-053	A	NEO	我我我蹲蹲蹲	我我我在这里等待	Me, me, me—waiting, waiting, waiting.	蹲蹲蹲	waiting here ‖ staying tuned	在这里等待	CSM
A-NEO-054	A	NEO	第三个我推	第三个我喜欢和支持的角色	The third one is my favorite character.	我推	my favorite character ‖ my fave ‖ my bias	我喜欢和支持的角色	CSM
A-NEO-055	A	NEO	！蹲蹲！	！在这里等待！	Waiting here!	蹲蹲	waiting here ‖ staying tuned	在这里等待	CSM
A-NEO-056	A	NEO	②没了哦，其他私	第二件没了哦，其他私信咨询	Item 2 is sold out. DM me about the others.	② ‖ 私	item two ‖ DM to ask	第二件 ‖ 私信咨询	CSM
A-NEO-057	A	NEO	宝宝羽绒服🔗！	宝宝羽绒服的购买链接！	Babe, please send me the link to this down jacket!	🔗	purchase link ‖ product link	的购买链接	CSM
A-NEO-058	A	NEO	看预算，直接r1+r52+大三元最优	看预算，直接r1+r52+三支恒定F2.8光圈的变焦镜头最优	It depends on your budget. The best setup is the R1, the R5 Mark II, and the holy trinity of constant-f/2.8 zoom lenses.	大三元	holy trinity of f/2.8 zoom lenses ‖ three constant-f/2.8 zoom lenses	三支恒定F2.8光圈的变焦镜头	CSM
A-NEO-059	A	NEO	佛山日结禅城张槎30/小时 需要滴滴	佛山日结禅城张槎30/小时 需要私信联系	Same-day-pay job in Zhangcha, Chancheng District, Foshan: ¥30 per hour. DM if interested.	滴滴	DM ‖ contact me	私信联系	CSM
A-NEO-060	A	NEO	老外来之前不给我推这种视频	老外来之前不给我推荐这种视频	The platform never recommended videos like this before foreign users arrived.	推	recommend ‖ show in my feed	推荐	CSM
A-NEO-061	A	NEO	目前估7️⃣1️⃣0️⃣💼邮不包手续费	目前估7️⃣1️⃣0️⃣包邮不包手续费	Currently asking ¥710, shipping included; transaction fees are not included.	💼邮	shipping included ‖ free shipping	包邮	CSM
A-NEO-062	A	NEO	蹲蹲拼320的	寻找一起拼单、共同分担320元费用的人	Looking for someone to join a ¥320 group buy with me.	蹲蹲拼320的	looking for someone to join a ¥320 group buy ‖ seeking a group-buy partner for ¥320	寻找一起拼单、共同分担320元费用的人	CSM
A-NEO-063	A	NEO	ruby蹲蹲	等待Ruby	Waiting for Ruby.	ruby蹲蹲	waiting for Ruby	等待Ruby	CSM
A-NEO-064	A	NEO	新年衣有富贵香！🔍当妮留香珠	新年衣服有富贵香！搜索当妮留香珠	Give your New Year outfit a luxurious scent—search for Downy scent booster beads.	衣 ‖ 🔍	outfit ‖ search for	衣服 ‖ 搜索	CSM
A-NEO-065	A	NEO	19配 35/1	19号可配 35元一份	No. 19 is available; ¥35 each.	19配 ‖ 35/1	number 19 is available ‖ ¥35 each	19号可配 ‖ 35元一份	CSM
A-NEO-066	A	NEO	狼青土松弟弟	狼青土松公幼犬	A male Chinese Wolfdog–local Songshi mix.	弟弟	male puppy ‖ young male dog	公幼犬	CSM
A-NEO-067	A	NEO	包姜晓的呀[doge]	肯定是姜晓的呀[doge]	Of course it's for Jiang Xiao. [doge]	包	definitely ‖ of course	肯定是	CSM
A-NEO-068	A	NEO	借楼蹲！！！	借用评论区寻找！！！	Borrowing the comments—looking for this!!!	借楼 ‖ 蹲	borrowing the comments ‖ looking for this	借用评论区 ‖ 寻找	CSM
A-NEO-069	A	NEO	我！要！原！图！关啦	我！要！原！图！已经关注你了	I! Want! The! Original! Image! I've followed you.	关啦	I've followed you ‖ already followed	已经关注你了	CSM
A-NEO-070	A	NEO	蹲一下🐍	在这里等待一下🐍	Waiting here for a bit 🐍	蹲一下	waiting here for a bit ‖ staying tuned	在这里等待一下	CSM
A-NEO-071	A	NEO	蹲反馈。甜不甜	等待反馈。甜不甜	Waiting for feedback. Is it sweet?	蹲	waiting for ‖ looking out for	等待	CSM
A-NEO-072	A	NEO	什么刀子都有[doge]	什么让人难过的情节都有[doge]	It has every kind of heartbreaking twist [doge].	刀子	heartbreaking twist ‖ angst ‖ tragedy	让人难过的情节	CSM
A-NEO-073	A	NEO	笑爆了	太好笑了	That's hilarious.	笑爆了	hilarious ‖ cracked me up ‖ laughed so hard	太好笑了	CSM
A-NEO-074	A	NEO	冷知识： #小孩也可以学水袖 所以中国文化永不可少。	小知识： #小孩也可以学水袖 所以中国文化永不可少。	Fun fact: #KidsCanLearnWaterSleevesToo. That’s why Chinese culture will always be essential.	冷知识	fun fact ‖ trivia	小知识	CSM
A-NEO-076	A	NEO	他们甚至是3D男友	他们甚至是现实中的男友	They’re even 3D boyfriends.	3D男友	3D boyfriend	现实中的男友	CSM
A-NEO-078	A	NEO	一次牛油果没吃过的有没有，吃过的朋友告诉我是什么味道，我脑补一下	一次牛油果没吃过的有没有，吃过的朋友告诉我是什么味道，我想象一下	Anyone else never tried avocado? Friends who have, tell me what it tastes like so I can imagine it.	脑补	imagine ‖ visualize	想象	CSM
A-NEO-079	A	NEO	无语！太夸张了！刚从中国回来三周，我觉得他们描述的是欧盟	不知道说什么！太夸张了！刚从中国回来三周，我觉得他们描述的是欧盟	Speechless! This is way too exaggerated! I got back from China three weeks ago, and I feel like they’re describing the EU.	无语	speechless ‖ at a loss for words	不知道说什么	CSM
A-NEO-080	A	NEO	那太有趣了！这个应用上的梗图太棒了	那太有趣了！这个应用上的搞笑图片太棒了	That’s hilarious! The memes on this app are amazing.	梗图	meme ‖ funny image	搞笑图片	CSM
A-NEO-081	A	NEO	看过 #《猎罪图鉴》 过来罚站→	看过 #《猎罪图鉴》 过来反思→	If you’ve watched Under the Skin, come stand in the corner and reflect →	罚站	stand and reflect ‖ be punished	反思	CSM
A-NEO-082	A	NEO	天天收藏，从未开始	每天都在收藏，却从来没有开始行动	Save everything, start nothing.	天天收藏，从未开始	save everything, start nothing	每天都在收藏，却从来没有开始行动	CSM
A-NEO-085	A	NEO	这台词……放到某些作品里也不会有违和感吧	这台词……放到某些作品里也不会有不协调感吧	These lines... wouldn’t feel out of place in certain works, would they?	违和感	sense of discomfort ‖ feeling off	不协调感	CSM
A-NEO-086	A	NEO	我可以用左脚踩右脚，再用右脚踩左脚，一直踩到天空！	我可以通过左右脚交替踩踏升到天空！	I can step on my right foot with my left, then on my left with my right, and keep doing it until I reach the sky!	用左脚踩右脚，再用右脚踩左脚，一直踩到天空	step on your own foot to fly	通过左右脚交替踩踏升到天空	CSM
A-NEO-089	A	NEO	不可能！在这里，女孩出生后就是家庭的中心，她们是家里的女王。喝点鸡汤吧！	不可能！在这里，女孩出生后就是家庭的中心，她们是家里的女王。听点励志的话吧！	Impossible! Here, girls become the center of the family the moment they’re born—they’re the queens of the household. Have some inspirational chicken soup!	喝点鸡汤	have some chicken soup ‖ listen to something uplifting	听点励志的话	CSM
A-NEO-090	A	NEO	永远抄底	永远在价格低位买入	Always buy the dip.	抄底	buy the dip	在价格低位买入	CSM
A-NEO-092	A	NEO	这本书在中国也是爆火，我也读完了。[ #飞吻R ]	这本书在中国也是非常火，我也读完了。[ #飞吻R ]	This book was a huge hit in China too. I’ve finished it as well. [#BlowingAKissR]	爆火	super popular ‖ viral	非常火	CSM
A-NEO-095	A	NEO	细思极恐 咋给一种放大版园区感	仔细想想非常可怕 咋给一种放大版园区感	The more I think about it, the scarier it gets. Why does it feel like a supersized scam compound?	细思极恐	terrifying on second thought	仔细想想非常可怕	CSM
A-NEO-096	A	NEO	看 the substance 的时候我就在暗自想这个演员要是什么时候能演个女同就好了 没想到已经演过了 我马上去看	看 the substance 的时候我就在暗自想这个演员要是什么时候能演个女同性恋就好了 没想到已经演过了 我马上去看	While watching The Substance, I secretly thought, “I wish this actress would play a lesbian someday.” Turns out she already has—I’m going to watch it right now.	女同	lesbian	女同性恋	CSM
A-NEO-097	A	NEO	看完 杀面包 来看看我拍的邓紫棋巴黎演唱会吧沉浸式体验哦耶✌️！我会持续更新🇩🇪留学生活欧洲旅游vlog！入股不亏	看完 杀面包 来看看我拍的邓紫棋巴黎演唱会吧沉浸式体验哦耶✌️！我会持续更新🇩🇪留学生活欧洲旅游vlog！关注不会后悔	Now that you’ve finished Bread Slaughter, come watch the immersive video I shot at G.E.M.’s Paris concert—yeah ✌️! I’ll keep posting vlogs about studying in Germany and traveling around Europe. Follow now; you won’t regret it.	入股不亏	worth the investment	关注不会后悔	CSM
A-NEO-099	A	NEO	哈哈哈哈那个 阿拉斯加的眼神 笑死我了	哈哈哈哈那个 阿拉斯加的眼神 让我笑得不行	Hahaha, that look on the Alaskan malamute’s face—I’m dying.	笑死我了	dying of laughter ‖ LOL	让我笑得不行	CSM
A-NEO-100	A	NEO	我们信奉相同的教义；这里有个花哨的名字：万物有灵论者。我喜欢它😍 漂亮。新年快乐。牛逼！保重	我们信奉相同的教义；这里有个花哨的名字：万物有灵论者。我喜欢它😍 漂亮。新年快乐。厉害！保重	We believe in the same doctrine; there’s a fancy name for it here: animism. I love it 😍 Beautiful. Happy New Year. Freaking awesome! Take care.	牛逼	awesome ‖ amazing	厉害	CSM
A-NEO-103	A	NEO	网友的成功让人宫寒	网友的成功让人嫉妒得难受	Other people’s success makes my uterus go cold with envy.	宫寒	cold uterus	嫉妒得难受	CSM
A-NEO-104	A	NEO	导航有的时候真的太坑了，没开过真的会很害怕	导航有的时候真的太不靠谱了，没开过真的会很害怕	Navigation apps can be such a nightmare sometimes. If you’ve never driven that route before, it can be genuinely scary.	太坑了	so unfair ‖ what a ripoff	太不靠谱了	CSM
A-NEO-107	A	NEO	原版在主页这条视频的上一条，淡淡人机感也是被姚润昊拿捏了	原版在主页这条视频的上一条，淡淡机械感也是被姚润昊拿捏了	The original is the previous video on my profile. Yao Runhao has absolutely nailed that subtly robotic vibe.	人机感	robotic feel	机械感	CSM
A-NEO-108	A	NEO	又要威又要带头盔就是这种	又想耍威风又要戴头盔就是这种	This is what it looks like when you want to look cool but still wear a helmet.	又要威又要带头盔	want to look cool but also be safe	又想耍威风又要戴头盔	CSM
A-NEO-109	A	NEO	总发愁自己没客子，不知道怎么起号的可以戳戳我	总发愁自己没客子，不知道怎么运营新账号的可以戳戳我	Always worried you have no customers and don’t know how to get your account started? Tap me.	起号	start an account	运营新账号	CSM
A-NEO-110	A	NEO	灭火器拿来出来就这样放在地上然后看着那个火继续烧，什么神操作？	灭火器拿来出来就这样放在地上然后看着那个火继续烧，什么令人费解的操作？	They brought out the fire extinguisher, set it on the ground, and just watched the fire keep burning. What kind of genius move is that?	神操作	godlike move ‖ amazing operation	令人费解的操作	CSM
A-NEO-113	A	NEO	需要我#互关吗，兄弟	需要我#互相关注吗，兄弟	Need me to follow you back, bro?	互关	follow each other	互相关注	CSM
A-NEO-114	A	NEO	魔都惊艳的主厨餐桌，一生值得来一次！	上海惊艳的主厨餐桌，一生值得来一次！	A stunning chef’s table experience in Shanghai—the kind you should try once in your life!	魔都	Magic City ‖ Shanghai	上海	CSM
A-NEO-115	A	NEO	🖤暗黑系甜酷风系列美甲，一出手就哇塞住！	🖤暗黑系甜美又酷的风格系列美甲，一出手就哇塞住！	🖤 Dark, sweet-and-edgy nail set—the instant wow factor is unreal!	甜酷风	sweet-cool style	甜美又酷的风格	CSM
A-NEO-116	A	NEO	橄榄皮灰粉天菜眼影！！	最适合橄榄皮的灰粉眼影！！	The ultimate gray-pink eyeshadow for olive skin!!	橄榄皮灰粉天菜眼影	dream girl ‖ dream boy	最适合橄榄皮的灰粉眼影	CSM
A-NEO-119	A	NEO	🔥这个神器有点东西啊❗️	🔥这个工具确实很好用啊❗️	🔥 This little wonder gadget is seriously impressive ❗️	这个神器有点东西	this gadget is seriously useful ‖ this thing is legit	这个工具确实很好用	CSM
