uid	table	category	src_noisy	src_clean	ref_en	noise_span	noise_gold_en	noise_std	source_meta
B-HOM-034	B	HOM	蚌埠住了这也太搞笑了	绷不住了这也太搞笑了	can't hold it in anymore this is way too funny fr	蚌埠住了	can't hold it in	绷不住了	weibo 2026-07-23
B-HOM-035	B	HOM	看到50亿离婚案的消息我直接蓝瘦香菇	看到50亿离婚案的消息我直接难受想哭	Seeing the news about the 5 billion divorce case, I'm so sad I could cry	蓝瘦香菇	so sad I could cry ‖ sad and want to cry	难受想哭	weibo 2026-07-24
B-HOM-036	B	HOM	针不戳，这个视频做得真好	真不错，这个视频做得真好	not bad this video is actually fire	针不戳	not bad	真不错	bilibili 2026-07-23
B-HOM-037	B	HOM	这景区管理duck不必，7个人打一个司机	这景区管理大可不必，7个人打一个司机	This scenic area management is totally unnecessary, 7 people beating one driver	duck不必	totally unnecessary ‖ doesn't have to be like this	大可不必	weibo 2026-07-24
B-HOM-038	B	HOM	这个颜色灰常好看	这个颜色非常好看	this color looks really good ngl	灰常	really	非常	weibo 2026-07-23
B-HOM-039	B	HOM	腾讯这波操作属于是虾仁猪心了	腾讯这波操作属于是杀人诛心了	Tencent's move this time is truly adding insult to injury	虾仁猪心	adding insult to injury ‖ twisting the knife	杀人诛心	weibo 2026-07-24
B-HOM-040	B	HOM	有内味了，就是这个感觉	有那味了，就是这个感觉	got that vibe this is the feeling	有内味了	has that flavor	有那味了	bilibili 2026-07-23
B-HOM-041	B	HOM	泄密被辞退永不录用，这员工只能耗子喂汁了	泄密被辞退永不录用，这员工只能好自为之了	Fired for leaking and never to be rehired, this employee better watch out	耗子喂汁	better watch out ‖ blame themselves ‖ take responsibility	好自为之	weibo 2026-07-24
B-HOM-042	B	HOM	这部剧的女主造型好康	这部剧的女主造型好看	the female lead's look in this drama is gorgeous	好康	gorgeous	好看	weibo 2026-07-23
B-HOM-043	B	HOM	耗子尾汁，好自为之吧	好自为之，好自为之吧	Learn your lesson and shape up.	耗子尾汁	shape up	好自为之	bilibili 2026-07-23
B-HOM-044	B	HOM	这个操作太虾仁了	这个操作太吓人了	this play is straight up terrifying	虾仁	terrifying	吓人	bilibili 2026-07-23
B-HOM-045	B	HOM	中国女排这波直接丸辣，美国队不服不行	中国女排这波直接完啦，美国队不服不行	China's women's volleyball team is done for this time, the US team has to admit defeat	丸辣	done for ‖ finished ‖ doomed	完啦	weibo 2026-07-24
B-HOM-046	B	HOM	鸭力好大，快要顶不住了	压力好大，快要顶不住了	the pressure is so high can't hold on anymore	鸭力	pressure	压力	bilibili 2026-07-23
B-HOM-047	B	HOM	窝五碎！！！	我五岁！！！	I'm five years old!!!	窝五碎	I'm five years old	我五岁	douyin 2026-07-23
B-HOM-048	B	HOM	赛里木湖这事整得灰常离谱	赛里木湖这事整得非常离谱	The Sarim Lake incident is really outrageous	灰常	really ‖ very ‖ super	非常	weibo 2026-07-24
B-HOM-049	B	HOM	看完这帖子我直接笑嘻了	看完这帖子我直接笑死了	after reading this post I'm dead lmao	笑嘻了	dead	笑死了	tieba 2026-07-23
B-HOM-050	B	HOM	看完这个视频我蕉绿了	看完这个视频我焦虑了	after watching this vid I'm straight up anxious	蕉绿	anxious	焦虑	bilibili 2026-07-23
B-HOM-051	B	HOM	看完女排比赛我直接鸭梨山大	看完女排比赛我直接压力山大	After watching the women's volleyball match, I'm under enormous pressure	鸭梨山大	under enormous pressure ‖ feeling immense pressure	压力山大	weibo 2026-07-24
B-HOM-052	B	HOM	笑鼠了！一会抛梗一会接梗	笑死了！一会抛梗一会接梗	dying of laughter! one sec they set up the joke next sec they're playing along	鼠	dying	死	douyin 2026-07-23
B-HOM-053	B	HOM	测评娃哈哈高透史莱姆好好康	测评娃哈哈高透史莱姆好好看	reviewing Wahaha's crystal clear slime it looks so good	好康	good	好看	douyin 2026-07-23
B-HOM-054	B	HOM	窝巢，这也太厉害了吧	我操，这也太厉害了吧	wtf this is too insane bruh	窝巢	insane	我操	bilibili 2026-07-23
B-HOM-055	B	HOM	笑的想鼠	笑的想死	laughing till I die	鼠	die	死	douyin 2026-07-23
B-HOM-056	B	HOM	这里是孙吧忏悔室，一人忏悔一件你觉得最厨神的事	这里是孙吧忏悔室，一人忏悔一件你觉得最畜生的事	welcome to Sun Bar confessional drop your most savage moment	厨神	savage	畜生	douyin 2026-07-23
B-HOM-057	B	HOM	关于玉玉症表妹喜欢上我的故事	关于抑郁症表妹喜欢上我的故事	the story of how my depressed cousin fell for me	玉玉症	depressed	抑郁症	douyin 2026-07-23
B-HOM-058	B	HOM	这是我女朋友 羡慕吗笑抽们🤣	这是我女朋友 羡慕吗小丑们🤣	this is my gf. jealous you clowns? 🤣	笑抽	clowns	小丑	douyin 2026-07-23
B-HOM-059	B	HOM	麻辣烫我只认元娘娘，口味多好7	麻辣烫我只认元娘娘，口味多好吃	I only trust Yuan Niangniang for malatang it's so good	好7	good	好吃	douyin 2026-07-23
B-HOM-060	B	HOM	可爱的小香猪变成了温暖的答辩	可爱的小香猪变成了温暖的大便	a cute little guinea pig turned into warm crap	答辩	crap	大便	douyin 2026-07-23
B-HOM-061	B	HOM	我要笑亖了卧槽	我要笑死了卧槽	I'm gonna die laughing oh shit	笑亖	die laughing	笑死	xhs 2026-07-23
B-HOM-062	B	HOM	时间长了搞亖你	时间长了搞死你	I'll work you to death over time	搞亖	death	搞死	xhs 2026-07-23
B-HOM-063	B	HOM	笑亖了家人们谁懂啊	笑死了家人们谁懂啊	dying of laughter fam who understands	笑亖	dying of laughter	笑死	xhs 2026-07-23
B-HOM-064	B	HOM	她居然紫砂了	她居然自杀了	she actually offed herself	紫砂	offed herself	自杀	xhs 2026-07-23
B-HOM-065	B	HOM	小哥：我真妹骗人！！我真给白衣女鬼送过餐！！你不知道哟！我魂都快没了，那餐是一点都没撒！！没办法，这就是哥的实力！	小哥：我真没骗人！！我真给白衣女鬼送过餐！！你不知道哟！我魂都快没了，那餐是一点都没撒！！没办法，这就是哥的实力！	Bro: I seriously didn't lie!! I really delivered food to the girl ghost in white!! You don't know! I nearly lost my soul, not a single drop spilled on that delivery! No choice, this is bro's skill!	妹骗人	didn't lie ‖ wasn't lying ‖ not lying	没骗人	bilibili 2026-07-24
B-HOM-066	B	HOM	博主成功把中二拍成沙子了	博主成功把中二拍成傻子了	The blogger successfully made the edgy act look like a fool	沙子	look like a fool ‖ act like a fool ‖ be a fool	傻子	bilibili 2026-07-24
B-HOM-067	B	HOM	肺雾才需要爱情，神都是孤独的	废物才需要爱情，神都是孤独的	Only the weak yearn for love; gods are destined to be alone.	肺雾	loser ‖ weakling	废物	bilibili 2026-07-24
B-HOM-068	B	HOM	我在学校哭别人鸟都不鸟我	我在学校哭别人理都不理我	I cried at school and nobody even paid attention to me	鸟	paid attention to ‖ gave a damn about ‖ cared about	理	bilibili 2026-07-24
B-HOM-069	B	HOM	现场偷挖被抓,夺笋呐!	现场偷挖被抓,多损呐!	Caught digging secretly on site, so savage!	夺笋	so savage ‖ so mean ‖ so wicked	多损	bilibili 2026-07-24
B-HOM-070	B	HOM	这个特效针不戛！	这个特效真不尬！	This special effect is really not cringe!	针不戛	really not cringe ‖ not awkward ‖ not cringe	真不尬	bilibili 2026-07-24
B-HOM-071	B	HOM	要泥寡,雨女无瓜!	要你管,与你无关!	Mind your own business, it's none of your business!	泥寡‖雨女无瓜	none of your business ‖ has nothing to do with you ‖ not your concern	你管‖与你无关	bilibili 2026-07-24
B-HOM-072	B	HOM	依托答辩是什么意思	一坨大便是什么意思	What does 'a pile of shit' mean?	依托答辩	a pile of shit ‖ a piece of crap ‖ total garbage	一坨大便	wechat_mp 2026-07-24
B-HOM-073	B	HOM	哈哈哈哈哈哈哈夺笋呐	哈哈哈哈哈哈哈多损呐	hahahahaha so mean lol	夺笋	so mean ‖ so savage ‖ so wicked	多损	bilibili 2026-07-24
B-HOM-074	B	HOM	“雨女无瓜”这么好笑吗是挺好笑的	“与你无关”这么好笑吗是挺好笑的	Is 'none of your business' really that funny? It is pretty funny	雨女无瓜	none of your business ‖ has nothing to do with you ‖ not your concern	与你无关	bilibili 2026-07-24
B-HOM-075	B	HOM	还有给	还有gay	Also got gay vibes	给	gay vibes ‖ gay ‖ homosexual	gay	bilibili 2026-07-24
B-HOM-076	B	HOM	这显卡价格真是辣鸡，还买什么啊	这显卡价格真是垃圾，还买什么啊	This GPU price is really trash, why even buy it	辣鸡	trash ‖ garbage ‖ crap	垃圾	douyin 2026-07-24
B-HOM-077	B	HOM	我丢！上班路上刷到路边广告牌被“风”掀了个角，原来是京东618的整活！这波操作简直泰裤辣！	我丢！上班路上刷到路边广告牌被“风”掀了个角，原来是京东618的整活！这波操作简直太酷啦！	No way! On my way to work I saw a roadside billboard get lifted by the 'wind', turns out it was JD 618's stunt! This move is just too cool!	泰裤辣	too cool ‖ so cool ‖ awesome	太酷啦	bilibili 2026-07-24
B-HOM-078	B	HOM	“泰酷辣”大人三周年	“太酷啦”大人三周年	Third anniversary of Lord 'So Cool'	泰酷辣	So Cool ‖ too cool ‖ awesome	太酷啦	bilibili 2026-07-24
B-HOM-079	B	HOM	前车：不二？	前车：不是？	The car in front: Wait, what?	不二	Wait, what? ‖ Excuse me? ‖ Are you kidding me?	不是	bilibili 2026-07-24
B-HOM-080	B	HOM	10店睡，身体还以为是午休呢，凌晨又把他们叫醒了	10点睡，身体还以为是午休呢，凌晨又把他们叫醒了	Going to sleep at 10, my body thought it was nap time, then woke me up at dawn	10店睡	Going to sleep at 10 ‖ Sleeping at 10	10点睡	bilibili BV1DAgS6SEqa 2026-07-24
B-HOM-081	B	HOM	tree 波Q	三杀	Triple kill	tree 波Q	Triple kill	三杀	bilibili BV1h4KU66ENd 2026-07-24
B-HOM-082	B	HOM	笑死我了粽横天虾至今一直在罚时闯过了零个关卡	笑死我了纵横天下至今一直在罚时闯过了零个关卡	Dying of laughter, the one who conquers the world has been in timeout, passing zero challenges	粽横天虾	conquers the world ‖ conquers all	纵横天下	bilibili BV1KRg462E53 2026-07-24
B-HOM-083	B	HOM	怎么达不溜小兵了	怎么打不了小兵了	Why can't I target the minions?	达不溜	unable to attack ‖ can't target	打不了	bilibili LOL BV1mTg46UE7Q 2026-07-24
B-HOM-084	B	HOM	！？雀潮？！	！？雀巢？！	!? Nestle!?	雀潮	Nestle	雀巢	bilibili BV1oiKm6yEYU 2026-07-24
B-HOM-085	B	HOM	此人知识面级广	此人知识面极广	This person's knowledge is extremely broad	级广	extremely broad	极广	bilibili BV1uuKm6PEKu 2026-07-24
B-HOM-086	B	HOM	蛇：卧槽，怎么又是他	蛇：我的天，怎么又是他	Snake: Oh my god, why is it him again	卧槽	Oh my god	我的天	bilibili BV1aPgQ6ZEmn 2026-07-24
B-HOM-087	B	HOM	生物钟:补药呀！我才调整好	生物钟:不要呀！我才调整好	Biological clock: No! I just got it adjusted	补药	No	不要	bilibili BV1DAgS6SEqa 2026-07-24
B-HOM-088	B	HOM	鸡本功来了，视频就有了。起飞！	基本功来了，视频就有了。起飞！	When the basic skills kick in, the video just takes off! Liftoff!	鸡本功	basic skills	基本功	bilibili ghost_music BV1Utgz6XEsP danmu 2026-07-24
B-HOM-089	B	HOM	食不食油饼	是不是有病	Are you out of your mind?	食不食油饼	out of your mind	是不是有病	bilibili ghost_music BV1Utgz6XEsP comment 2026-07-24
B-HOM-090	B	HOM	香精煎鱼食不食	想进监狱是不是	Do you want to end up in prison?	香精煎鱼食不食	want to end up in prison	想进监狱是不是	bilibili ghost_music BV1Utgz6XEsP comment 2026-07-24
B-HOM-091	B	HOM	立马去郊区浇筑一个刚进混凝土的地下堡垒	立马去郊区浇筑一个钢筋混凝土的地下堡垒	Head to the suburbs right away and build an underground bunker with rebar concrete	刚进	rebar	钢筋	bilibili AIGC_anime BV11XKp6oE57 comment 2026-07-24
B-HOM-092	B	HOM	鸡本功扎实	基本功扎实	Solid basic skills	鸡本功	basic skills	基本功	bilibili ghost_music BV1Utgz6XEsP comment 2026-07-24
B-HOM-093	B	HOM	蚌不住了	绷不住了	Can't hold it in anymore	蚌不住了	Can't hold it in anymore ‖ can't keep it together ‖ can't hold back	绷不住了	bilibili fishing_life BV1YbgC6qE76 danmu 2026-07-24
B-HOM-094	B	HOM	冷芝士：袜子不是茶包	冷知识：袜子不是茶包	Fun fact: socks are not tea bags	冷芝士	Fun fact ‖ trivia ‖ fun fact	冷知识	bilibili ACG_sock_studies BV1Tdgh6aESA danmu 2026-07-24
B-HOM-095	B	HOM	就说00这一套真的超级好看的，我可以安心的似了	就说00这一套真的超级好看的，我可以安心的死了	This 00 outfit is really super good-looking, I can finally rest in peace	似	rest in peace ‖ die in peace	死	bilibili cute_cosplay BV1LFgk6zEkZ danmu 2026-07-24
B-NEO-002	B	NEO	我们不是供人围观的工具人！	我们不是供人围观的工具！	we're not tools for people to watch!	工具人	tool ‖ someone used by others	工具	kuaishou 2026-07-25
B-NEO-003	B	NEO	又被割韭菜了，这理财产品全是坑	又被宰了，这理财产品全是坑	I got ripped off again, this wealth management product is full of traps.	割韭菜	got ripped off	宰	kuaishou 2026-07-25
B-NEO-004	B	NEO	品牌联名就是割韭菜，质量差价格高	品牌联名就是坑人，质量差价格高	Co-branded products are just a way to rip off customers with poor quality and high prices.	割韭菜	rip off customers	坑人	kuaishou 2026-07-25
B-NEO-005	B	NEO	别带节奏了，事情不是你想的那样	别煽动舆论了，事情不是你想的那样	stop stirring things up, it's not what you think	带节奏	stir up ‖ manipulate public opinion	煽动舆论	kuaishou 2026-07-25
B-NEO-006	B	NEO	评论区全是在带节奏的，真相没人关心	评论区全是在煽动舆论的，真相没人关心	comments section full of people stirring drama, nobody cares about the truth	带节奏	stir up ‖ lead the narrative	煽动舆论	kuaishou 2026-07-25
B-NEO-007	B	NEO	杠精无处不在，说啥都要反驳	抬杠的人无处不在，说啥都要反驳	contrarians are everywhere, they rebut everything you say	杠精	contrarian ‖ argumentative person	抬杠的人	kuaishou 2026-07-25
B-NEO-008	B	NEO	遇到杠精最好的办法就是不理他	遇到抬杠的人最好的办法就是不理他	the best way to deal with a contrarian is to ignore them	杠精	contrarian	抬杠的人	kuaishou 2026-07-25
B-NEO-009	B	NEO	芭比Q了，半夜点外卖忘备注别敲门	完了，半夜点外卖忘备注别敲门	I'm cooked, ordered delivery at midnight and forgot to leave a note saying don't knock	芭比Q了	I'm done for ‖ I'm cooked	完了	bilibili 2026-07-25
B-NEO-010	B	NEO	选择你的躲藏点，被抓到就芭比Q了	选择你的躲藏点，被抓到就完了	pick your hiding spot, if you get caught you're done for	芭比Q了	done for ‖ finished	完了	bilibili 2026-07-25
B-NEO-011	B	NEO	看到肯德基9.9的那一刻，我的班味瞬间就没了	看到肯德基9.9的那一刻，我的上班疲惫感瞬间就没了	the moment I saw KFC 9.9, my work exhaustion instantly vanished	班味	work exhaustion ‖ work vibe	上班疲惫感	bilibili 2026-07-25
B-NEO-012	B	NEO	人一旦染上班味，这辈子就去不掉了	人一旦染上上班的气息，这辈子就去不掉了	once you catch the work vibe, it never leaves you	班味	work vibe ‖ office aura	上班的气息	bilibili 2026-07-25
B-NEO-013	B	NEO	十多块的塔斯汀五件套，横扫我一天班味	十多块的塔斯汀五件套，横扫我一天上班的疲惫感	a 10-something yuan Tastien 5-piece meal wipes away my whole day of work fatigue	班味	work fatigue ‖ work tiredness	上班的疲惫感	bilibili 2026-07-25
B-NEO-014	B	NEO	净化班味，用了这头像直接演绎出我的精神状态	净化上班的疲惫感，用了这头像直接演绎出我的精神状态	cleansing away the work fatigue — this avatar perfectly captures my mental state	班味	work exhaustion	上班的疲惫感	bilibili 2026-07-25
B-NEO-015	B	NEO	等等党赢麻了，建议收藏	等待降价的人赢得非常彻底，建议收藏	the wait-for-a-deal crew won big time, saving this	等等党‖赢麻了	the wait-for-a-deal crew ‖ won big	等待降价的人‖赢得非常彻底	bilibili 2026-07-25
B-NEO-016	B	NEO	看似输了实际赢麻了	看似输了实际赢得非常彻底	looks like they lost but actually won big	赢麻了	won big ‖ came out on top	赢得非常彻底	bilibili 2026-07-25
B-NEO-017	B	NEO	纯爱战神轰然倒地	只支持纯爱的人轰然倒地	the pure love warrior has fallen	纯爱战神	pure love warrior	只支持纯爱的人	bilibili 2026-07-25
B-NEO-018	B	NEO	谨以此片献给每一位纯爱战神	谨以此片献给每一位只支持纯爱的人	dedicating this film to every pure love warrior out there	纯爱战神	pure love warrior	只支持纯爱的人	bilibili 2026-07-25
B-NEO-019	B	NEO	兄弟们我润美国了	兄弟们我移民美国了	bros I emigrated to the US	润	emigrated ‖ ran away	移民	bilibili 2026-07-25
B-NEO-020	B	NEO	公司要黄了的5个征兆，当公司开始严抓考勤，你该考虑润了	公司要黄了的5个征兆，当公司开始严抓考勤，你该考虑跑了	5 signs your company is going under, when they start cracking down on attendance, you should consider bouncing	润了	bounce ‖ leave ‖ quit	跑了	bilibili 2026-07-25
B-NEO-021	B	NEO	赛博朋克2077，极致嘴臭极致享受	赛博朋克2077，极致骂人极致享受	Cyberpunk 2077, ultimate trash talk ultimate enjoyment	嘴臭	trash talk ‖ foul-mouthed	骂人	bilibili 2026-07-25
B-NEO-023	B	NEO	孙红雷演技炸裂，20万人打出7.5分	孙红雷演技极其震撼，20万人打出7.5分	Sun Honglei's acting is absolutely insane, 200k people rated 7.5	炸裂	absolutely insane ‖ explosive	极其震撼	bilibili 2026-07-25
B-NEO-024	B	NEO	赛博诵经让老外陷入疯狂	虚拟诵经让老外陷入疯狂	cyber chanting is driving foreigners crazy	赛博	cyber ‖ virtual	虚拟	bilibili 2026-07-25
B-NEO-025	B	NEO	国庆宅家的赛博生活	国庆宅家的虚拟网络生活	National Day stay-at-home cyber life	赛博	cyber ‖ digital	虚拟网络	bilibili 2026-07-25
B-NEO-026	B	NEO	高考第一批显眼包出现了，青蛙玩偶花式助阵	高考第一批爱出风头的人出现了，青蛙玩偶花式助阵	the first batch of attention-seekers at the college entrance exam showed up, frog mascots cheering in style	显眼包	attention-seeker ‖ scene-stealer	爱出风头的人	weibo 2026-07-25
B-NEO-027	B	NEO	电子榨菜输出中，午饭点准时到	适合吃饭时看的视频输出中，午饭点准时到	my mealtime video is on, right on time for lunch	电子榨菜	mealtime video ‖ show to watch while eating	适合吃饭时看的视频	weibo 2026-07-25
B-NEO-028	B	NEO	这个综艺太下饭了，一口气看完	这个综艺太适合吃饭时看了，一口气看完	this variety show is perfect meal content, binged the whole thing	下饭	perfect for watching while eating	适合吃饭时看	weibo 2026-07-25
B-NEO-029	B	NEO	发疯文学必备文案，笑死我了	宣泄式文字表达必备文案，笑死我了	must-have lines for unhinged-rant posting, I'm dying laughing	发疯文学	unhinged rant genre ‖ crazy literature	宣泄式文字表达	weibo 2026-07-25
B-NEO-030	B	NEO	社恐人的噩梦，大型聚会	社交恐惧症患者的噩梦，大型聚会	a socially anxious person's worst nightmare, a huge gathering	社恐人	socially anxious person ‖ social-phobe ‖ person with social anxiety	社交恐惧症患者	weibo 2026-07-25
B-NEO-031	B	NEO	找不到原剧了，这个当代餐先看	找不到原剧了，这个当替代品先看	can't find the original, using this as a substitute for now	代餐	substitute ‖ replacement	替代品	weibo 2026-07-25
B-NEO-032	B	NEO	花2000买nike感觉自己好像大冤种	花2000买nike感觉自己好像大冤大头	spent 2k on nikes feeling like a total sucker	大冤种	big sucker	大冤大头	weibo 2026-07-23
B-NEO-033	B	NEO	腾讯这波泄密直接破防了，317万说没就没	腾讯这波泄密直接崩溃了，317万说没就没	Tencent's leak move really triggered a breakdown, 3.17 million gone just like that	破防	triggered a breakdown ‖ emotionally devastated	崩溃	weibo 2026-07-24
B-NEO-034	B	NEO	梅老板今年真可怜，这么强的个人发挥啥没有得到	梅西今年真可怜，这么强的个人发挥啥没有得到	Messi had a rough year insane individual performance but got nothing	梅老板	Messi	梅西	douyin 2026-07-23
B-NEO-035	B	NEO	吃瓜吃到自己头上了，腾讯泄密员工就是本人	看热闹看到自己头上了，腾讯泄密员工就是本人	I was following the drama, only to realize I’m the Tencent staff member who leaked the information	吃瓜吃到	follow online drama ‖ watch gossip	看热闹看到	weibo 2026-07-24
B-NEO-036	B	NEO	别搁这凡尔赛了，显摆啥呢	别搁这炫耀了，显摆啥呢	stop humble bragging already what are you flexing	凡尔赛	flexing	炫耀	tieba 2026-07-23
B-NEO-037	B	NEO	显卡市场太内卷了，价格涨得离谱	显卡市场竞争太激烈了，价格涨得离谱	The GPU market is hyper-competitive, prices rising outrageously	太内卷了	hyper-competitive ‖ fiercely competitive	竞争太激烈了	weibo 2026-07-24
B-NEO-038	B	NEO	这帖子水分太大，灌水灌的	这帖子水分太大，刷帖刷的	this post is so watered down pure spam	灌水灌的	spam	刷帖刷的	tieba 2026-07-23
B-NEO-039	B	NEO	打工人看完317万年终奖直接躺平了	打工人看完317万年终奖直接放弃了	Workers gave up striving after seeing the 3.17 million year-end bonus.	躺平	checked out ‖ gave up ‖ laid flat	放弃	weibo 2026-07-24
B-NEO-040	B	NEO	这剧情给我整破防了	这剧情给我整崩溃了	this plot totally broke me fr fr	破防	broke	崩溃	tieba 2026-07-23
B-NEO-041	B	NEO	这员工凡尔赛式晒年终奖，结果翻车了	这员工炫耀式晒年终奖，结果翻车了	This employee flaunted their year-end bonus in a humble-brag way, and it backfired	凡尔赛	humble-brag ‖ showing off	炫耀	weibo 2026-07-24
B-NEO-042	B	NEO	这手机信号拉胯到离谱	这手机信号差到离谱	this phone signal is garbage to an absurd degree	拉胯	garbage	差	tieba 2026-07-23
B-NEO-043	B	NEO	你这个行为真的很下头	你这个行为真的很扫兴	your behavior is such a turnoff rn	下头	turnoff	扫兴	weibo 2026-07-23
B-NEO-044	B	NEO	赛里木湖这事太下头了，景区管理太离谱	赛里木湖这事太让人失望了，景区管理太离谱	The Sarim Lake incident is too disappointing, scenic area management is outrageous	下头	disappointing ‖ a turn-off ‖ off-putting	让人失望	weibo 2026-07-24
