model	term	estimate	ci_lo	ci_hi	excludes_zero
qwen3-0.6b	length_z	-1.96	-3.39	-0.75	yes
qwen3-0.6b	editdist_z	-0.08	-1.42	1.10	
qwen3-1.7b	intercept	10.27	7.36	13.08	yes
qwen3-1.7b	cat=PYA	-9.35	-13.64	-5.25	yes
qwen3-1.7b	cat=NEO	-4.82	-8.49	-1.21	yes
qwen3-1.7b	cat=MIX	-9.91	-13.56	-6.12	yes
qwen3-1.7b	length_z	-0.83	-2.27	0.56	
qwen3-1.7b	editdist_z	0.74	-0.71	2.28	
qwen3-14b	intercept	9.88	7.47	12.08	yes
qwen3-14b	cat=PYA	-6.64	-9.58	-3.66	yes
qwen3-14b	cat=NEO	-4.06	-7.03	-1.10	yes
qwen3-14b	cat=MIX	-10.97	-14.03	-7.93	yes
qwen3-14b	length_z	-1.25	-2.11	-0.39	yes
qwen3-14b	editdist_z	0.71	-0.42	1.76	
qwen3-32b	intercept	10.11	7.39	12.79	yes
qwen3-32b	cat=PYA	-6.57	-9.83	-3.37	yes
qwen3-32b	cat=NEO	-4.01	-7.21	-0.74	yes
qwen3-32b	cat=MIX	-11.73	-14.83	-8.43	yes
qwen3-32b	length_z	-1.36	-2.28	-0.45	yes
qwen3-32b	editdist_z	0.93	-0.13	1.99	
qwen3-4b	intercept	10.55	8.01	12.95	yes
qwen3-4b	cat=PYA	-7.90	-10.94	-4.62	yes
qwen3-4b	cat=NEO	-4.41	-7.60	-1.13	yes
qwen3-4b	cat=MIX	-11.36	-14.31	-8.35	yes
qwen3-4b	length_z	-0.93	-1.93	0.08	
qwen3-4b	editdist_z	0.82	-0.28	2.03	
qwen3-8b	intercept	10.50	8.07	13.01	yes
qwen3-8b	cat=PYA	-7.39	-10.69	-4.18	yes
qwen3-8b	cat=NEO	-4.58	-7.90	-1.52	yes
qwen3-8b	cat=MIX	-12.71	-16.08	-9.20	yes
qwen3-8b	length_z	-0.67	-1.65	0.53	
qwen3-8b	editdist_z	1.24	0.15	2.59	yes
