uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-010	HOM	21.75	xcomet/kiwi Δ disagree by 21.8	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a god at cooking, so today I'll make godly dishes for you to eat.
B-MIX-027	MIX	21.74	xcomet/kiwi Δ disagree by 21.7; xcomet_noisy 94.3 but NTA miss	掉san了，这个太恐怖了	Oh no, this is too scary.
B-NEO-015	NEO	21.73	xcomet/kiwi Δ disagree by 21.7	等等党赢麻了，建议收藏	"The ""etc. party"" has won big, suggest saving this."
B-HOM-075	HOM	21.53	xcomet/kiwi Δ disagree by 21.5	还有给	Also for
B-MIX-096	MIX	21.43	xcomet/kiwi Δ disagree by 21.4	可以无限卡bug，站起来再躺下去，站起来再躺下去。	You can infinitely exploit the bug by standing up and lying down repeatedly.
B-PYA-048	PYA	21.39	xcomet/kiwi Δ disagree by 21.4; xcomet_noisy 84.8 but NTA miss	xswl 这都能洗？	Is that even washable?
B-HOM-037	HOM	21.37	xcomet/kiwi Δ disagree by 21.4	这景区管理duck不必，7个人打一个司机	This scenic area management is unnecessary, seven people for one driver.
B-HOM-099	HOM	21.32	xcomet/kiwi Δ disagree by 21.3; xcomet_noisy 81.5 but NTA miss	你们要是给我炮儿玩似了我看什么啊	What am I supposed to look at if you just play with me like a toy?
B-HOM-121	HOM	21.04	xcomet/kiwi Δ disagree by 21.0	年轻人不讲武德！耗子尾汁	Young people don't have morals! Rat's tail juice.
B-MIX-065	MIX	20.96	xcomet/kiwi Δ disagree by 21.0	这个DJ太嗨了	This DJ is too energetic.
B-HOM-106	NEO	20.78	xcomet/kiwi Δ disagree by 20.8	这高达味怎么这么重啊，真的是百合拯救了萝卜？	How heavy this Gao Da Wei is! Could it really be that the lily saved the radish?
B-NEO-010	NEO	20.57	xcomet/kiwi Δ disagree by 20.6; xcomet_noisy 84.6 but NTA miss	选择你的躲藏点，被抓到就芭比Q了	Choose your hiding spot; get caught and you're barbecued.
B-HOM-008	HOM	20.17	xcomet/kiwi Δ disagree by 20.2; xcomet_noisy 81.9 but NTA miss	人生就是一个杯具接着一个杯具	Life is one cup disaster after another.
B-MIX-069	MIX	20.09	xcomet/kiwi Δ disagree by 20.1	抖音的bgm怎么突然变得那么难听了到处都是想问问你敢不敢还有那天我经过一片花园	"Why has Douyin's BGM suddenly become so annoying, with lines like ""Do you dare to ask me"" and ""That day when I passed by a garden"" everywhere?"
B-PYA-040	PYA	20.01	xcomet/kiwi Δ disagree by 20.0	蓝盈莹第一场戏好像就是撞棺紫砂	Blue Yingying's first scene seems to be the one where she collides with a purple sand coffin.
B-PYA-021	PYA	19.75	xcomet_noisy 81.1 but NTA miss	srds，赛里木湖打人这事不能就这么算了	This incident of someone assaulting a tourist at Sea Lake cannot be left unresolved like that.
B-NEO-114	NEO	19.32	xcomet_noisy 87.5 but NTA miss	为什么能匹到这么多神人	Why can so many amazing people be matched?
B-MIX-085	MIX	18.77	xcomet_noisy 88.9 but NTA miss	超mean老奶一般是英语老师	Super strict old lady teachers are usually English teachers.
B-NEO-036	NEO	18.70	xcomet_noisy 83.1 but NTA miss	别搁这凡尔赛了，显摆啥呢	Stop being so showy, what are you bragging about?
B-NEO-074	NEO	18.50	xcomet_noisy 81.3 but NTA miss	这波操作直接拉胯了	This move directly ruined it.
B-HOM-054	HOM	18.01	xcomet_noisy 90.8 but NTA miss	窝巢，这也太厉害了吧	Nest, that's way too impressive!
B-PYA-076	PYA	17.91	xcomet_noisy 95.9 but NTA miss	xswl皇帝的新衣	The Emperor's New Clothes
B-HOM-001	HOM	17.43	xcomet_noisy 93.4 but NTA miss	酱紫也行？那我也试试	That's okay? Then I'll try it too.
B-HOM-067	HOM	17.40	xcomet_noisy 82.0 but NTA miss	肺雾才需要爱情，神都是孤独的	The lungs need love, and all gods are lonely.
B-NEO-042	NEO	17.32	xcomet_noisy 96.2 but NTA miss	这手机信号拉胯到离谱	This phone signal is so bad it's ridiculous.
B-NEO-060	NEO	17.25	xcomet_noisy 90.7 but NTA miss	这个太上头了	This is too intense.
B-NEO-085	NEO	16.97	xcomet_noisy 85.0 but NTA miss	你这肯定是低段位炸鱼罢了	You're probably just fishing around at a low level.
B-NEO-068	NEO	16.61	xcomet_noisy 85.3 but NTA miss	摆烂一天算了	Give up for the day.
B-MIX-054	MIX	16.13	xcomet_noisy 91.9 but NTA miss	GG了，完了	GG, it's over.
B-MIX-056	MIX	15.75	xcomet_noisy 82.8 but NTA miss	图样森破，你太天真了	The pattern is broken, you're too naive.
B-HOM-002	HOM	15.53	xcomet_noisy 97.4 but NTA miss	你怎么酱紫说话，人家会误会的	How can you talk like that? Others might misunderstand.
B-PYA-038	PYA	15.03	xcomet_noisy 86.7 but NTA miss	一个会调情的男生真的YYDS	A flirtatious guy is really the best.
B-PYA-068	PYA	14.94	xcomet_noisy 84.7 but NTA miss	zqsg追了这么多年，终于更新了	After following ZQSG for so many years, it's finally updated.
B-NEO-080	NEO	14.94	xcomet_noisy 82.3 but NTA miss	直接破防了家人们	Directly broke the family's defenses.
B-NEO-019	NEO	14.72	xcomet_noisy 82.8 but NTA miss	兄弟们我润美国了	Brothers, I've been to the U.S.
B-PYA-041	PYA	14.29	xcomet_noisy 83.6 but NTA miss	泰奶+Gelato yyds！！！	Thai Milk + Gelato yyds!!!
B-PYA-046	PYA	14.28	xcomet_noisy 85.1 but NTA miss	这吧里xfxy的，天天吵架	This place is full of xfyx, fighting every day.
B-NEO-106	NEO	14.25	xcomet_noisy 93.1 but NTA miss	这声音绝绝子	This sound is amazing!
B-NEO-016	NEO	13.91	xcomet_noisy 93.4 but NTA miss	看似输了实际赢麻了	It seems like a loss but actually a complete win.
B-PYA-034	PYA	13.90	xcomet_noisy 87.8 but NTA miss	会聊天的男生真的yyds	A boy who can chat is really the best.
B-PYA-042	PYA	13.67	xcomet_noisy 81.6 but NTA miss	yygq什么呢，有话直说不行吗	What's yygq? Can't you just say it straight?
B-NEO-008	NEO	13.48	xcomet_noisy 81.2 but NTA miss	遇到杠精最好的办法就是不理他	The best way to deal with a杠精 is to ignore him.
B-MIX-078	MIX	13.26	xcomet_noisy 86.6 but NTA miss	学习上problem不能发作	Learning problems cannot occur.
B-NEO-070	NEO	13.18	xcomet_noisy 96.2 but NTA miss	这波操作属实逆天了	This move is absolutely crazy.
B-HOM-072	HOM	13.08	xcomet_noisy 80.2 but NTA miss	依托答辩是什么意思	"What does ""依托答辩"" mean?"
B-HOM-011	HOM	13.07	xcomet_noisy 85.5 but NTA miss	世界上最神金的行为	The most divine act in the world
B-MIX-026	MIX	13.04	xcomet_noisy 92.1 but NTA miss	看到317万年终奖我直接emo了	Seeing my 3.17 million yuan annual bonus, I got really emo.
B-PYA-100	PYA	12.76	xcomet_noisy 93.6 but NTA miss	20w收藏3w点赞	200,000 favorites, 30,000 likes
B-PYA-108	PYA	12.49	xcomet_noisy 93.8 but NTA miss	woc瞬间高清修补版	Instant HD Repair Version
B-PYA-031	PYA	12.44	xcomet_noisy 87.8 but NTA miss	王虹从垫底到菲尔兹奖，这波直接nb	Wang Hong from the bottom to the Fields Medal, this move is really impressive.
B-PYA-018	PYA	12.30	xcomet_noisy 83.9 but NTA miss	dd，中国女排3比2逆转美国太牛了	DD, China's women's volleyball team's 3-2 comeback against the US is amazing!
B-MIX-086	MIX	12.17	xcomet_noisy 89.2 but NTA miss	绝对音感的正确用法belike	Correct usage of absolute pitch
B-PYA-011	PYA	12.10	xcomet_noisy 94.3 but NTA miss	jrm帮我看看这个怎么选	Help me figure out how to choose this.
B-NEO-100	NEO	11.75	xcomet_noisy 81.3 but NTA miss	扎格列斯之手的含金量还在上升！	The gold content of Zagreus's hand is still rising!
B-NEO-056	NEO	11.48	xcomet_noisy 83.1 but NTA miss	他好会整活	He's really good at coming up with creative ideas.
B-PYA-036	PYA	11.31	xcomet_noisy 83.2 but NTA miss	减脂党狂喜！番茄鸡蛋燕麦粥yyds	Fat-loss enthusiasts rejoice! Tomato and egg oatmeal porridge is the best!
B-MIX-088	MIX	11.27	xcomet_noisy 80.3 but NTA miss	第一次尝试做这么长的动画 感觉k帧速度有所提升绝宝二周年快乐!	First attempt at making such a long animation, the k-frame speed seems to have improved, happy second anniversary of Jiebao!
B-PYA-012	PYA	11.08	xcomet_noisy 93.0 but NTA miss	jrm今天发生了一件离谱的事	Something absurd happened today, JRM.
B-NEO-046	NEO	11.05	xcomet_noisy 84.2 but NTA miss	没绷住破绷了	Couldn't hold it in, broke down.
B-PYA-086	PYA	10.99	xcomet_noisy 84.8 but NTA miss	yysy，两边都看完了	yysy, both sides have been read through.
B-HOM-009	HOM	10.83	xcomet_noisy 84.6 but NTA miss	游戏过于神金，不确定先从哪里笑起	The game is too godlike; unsure where to start laughing.
B-HOM-068	HOM	10.82	xcomet_noisy 97.3 but NTA miss	我在学校哭别人鸟都不鸟我	I cried at school, but nobody even looked at me.
B-PYA-022	PYA	10.71	xcomet_noisy 86.8 but NTA miss	白色真是yyds	White is truly the best.
B-HOM-112	HOM	10.54	xcomet_noisy 97.2 but NTA miss	梅森：这我可太熟辣！	Mason: I'm really familiar with that!
B-NEO-048	NEO	10.29	xcomet_noisy 82.2 but NTA miss	天天水经验，也不发点有用的帖子	Daily water experience, also not posting any useful posts.
B-HOM-083	HOM	10.11	xcomet_noisy 80.2 but NTA miss	怎么达不溜小兵了	How come the little soldiers are so few?
B-PYA-007	PYA	10.08	xcomet_noisy 88.2 but NTA miss	新剧gkd！等不及了	New drama GKD! Can't wait!
B-NEO-065	NEO	10.04	xcomet_noisy 82.0 but NTA miss	是我不够糖吗	Is there not enough sugar for me?
B-MIX-130	MIX	9.97	xcomet_noisy 83.7 but NTA miss	从来没有get到他颜值	Never got his looks.
B-MIX-067	MIX	9.86	xcomet_noisy 83.7 but NTA miss	这动漫OP太好听了，循环播放	This anime's OP is too good to listen to; I'm playing it on loop.
B-HOM-031	HOM	9.76	xcomet_noisy 87.7 but NTA miss	卧槽317万年终奖就这么没了？	What a 3.17 million yuan annual bonus just vanished?
B-NEO-115	NEO	9.74	xcomet_noisy 90.4 but NTA miss	所以男主在嘎掉的威胁下领悟了？	So the male lead realized it under the threat of being killed?
B-PYA-009	PYA	9.65	xcomet_noisy 97.3 but NTA miss	xgg们推荐一下好用的手机呗	Please recommend some good mobile phones.
B-PYA-019	PYA	9.44	xcomet_noisy 88.5 but NTA miss	rt，大家帮我看看这手机值不值	RT, everyone, please help me check if this phone is worth it.
B-HOM-094	HOM	9.20	xcomet_noisy 85.3 but NTA miss	冷芝士：袜子不是茶包	Cold cheese: Socks are not tea bags.
B-NEO-028	NEO	9.17	xcomet_noisy 81.2 but NTA miss	这个综艺太下饭了，一口气看完	This variety show is so good to eat with; I watched it all in one go.
B-MIX-036	MIX	9.06	xcomet_noisy 92.2 but NTA miss	腾讯这波泄密事件直接social death了	This leak incident from Tencent has caused a social death.
B-NEO-006	NEO	8.89	xcomet_noisy 89.2 but NTA miss	评论区全是在带节奏的，真相没人关心	The comment section is all about creating hype, and no one cares about the truth.
B-PYA-049	PYA	8.79	xcomet_noisy 96.2 but NTA miss	rwkk这到底是什么鱼	What kind of fish is this?
B-NEO-063	NEO	8.66	xcomet_noisy 89.0 but NTA miss	这帖子纯纯的钓鱼经验，别当真	This post is purely fishing experience; don't take it seriously.
B-HOM-119	NEO	8.56	xcomet_noisy 88.2 but NTA miss	欧内该，我什么都愿意做	Oneya, I'm willing to do anything.
B-HOM-050	HOM	8.47	xcomet_noisy 85.4 but NTA miss	看完这个视频我蕉绿了	After watching this video, I turned green.
B-NEO-041	NEO	8.46	xcomet_noisy 83.9 but NTA miss	这员工凡尔赛式晒年终奖，结果翻车了	This employee boasted about their year-end bonus in a very Versailles-style manner, but it backfired.
B-HOM-091	HOM	8.41	xcomet_noisy 86.7 but NTA miss	立马去郊区浇筑一个刚进混凝土的地下堡垒	Head to the suburbs immediately to pour concrete into a newly built underground fortress.
B-PYA-029	PYA	8.31	xcomet_noisy 80.7 but NTA miss	50亿离婚案的瓜我吃了，dbq我不站队	I've had my share of the 5 billion divorce cases, dbq, I won't take sides.
B-HOM-040	HOM	8.26	xcomet_noisy 81.7 but NTA miss	有内味了，就是这个感觉	It has that inner taste, exactly this feeling.
B-MIX-047	MIX	8.06	xcomet_noisy 96.2 but NTA miss	这个角色太OP了	This character is too OP.
B-PYA-064	PYA	7.83	xcomet_noisy 93.6 but NTA miss	ssfd，这个太恐怖了	ssfd, this is too scary.
B-HOM-064	HOM	7.79	xcomet_noisy 81.5 but NTA miss	她居然紫砂了	She managed to make purple clay.
B-PYA-032	PYA	7.78	xcomet_noisy 96.4 but NTA miss	xjj们推荐一下好用的手机呗	Please recommend some good mobile phones.
B-HOM-098	HOM	7.63	xcomet_noisy 85.0 but NTA miss	淦，忘记原版了，有谁能补一下？	Oh, I forgot the original version, can anyone补一下?
B-HOM-118	HOM	7.54	xcomet_noisy 86.5 but NTA miss	雾草这幕太美了	This scene of the fog grass is too beautiful.
B-PYA-095	PYA	7.04	xcomet_noisy 92.8 but NTA miss	光明，赐予我力量（bushi）	Light, grant me strength (bushi)
B-HOM-057	HOM	6.93	xcomet_noisy 82.3 but NTA miss	关于玉玉症表妹喜欢上我的故事	The story about Yuyu syndrome and my cousin who fell in love with me.
B-PYA-062	PYA	6.88	xcomet_noisy 85.6 but NTA miss	xswl打印机都沦没墨了	All the XSWL printers are out of ink.
B-PYA-015	PYA	6.62	xcomet_noisy 84.9 but NTA miss	这条rs怎么还没上	Why hasn't this RS been uploaded yet?
B-MIX-066	MIX	6.50	xcomet_noisy 83.1 but NTA miss	Rush E 朗朗PK街头钢琴家	Rush E vs. Street Piano Player
B-PYA-017	PYA	6.23	xcomet_noisy 87.8 but NTA miss	14个月正是穿lulu的时候	14 months is exactly the time to wear a lulu.
B-HOM-042	HOM	6.21	xcomet_noisy 96.0 but NTA miss	这部剧的女主造型好康	The female lead's outfit is very stylish.
B-HOM-058	HOM	6.16	xcomet_noisy 91.2 but NTA miss	这是我女朋友 羡慕吗笑抽们🤣	This is my girlfriend. Jealous? 😂🤣
B-MIX-049	MIX	6.13	xcomet_noisy 89.8 but NTA miss	加个buff，变得更强	Add a buff to become stronger.
B-MIX-038	MIX	5.93	xcomet_noisy 97.7 but NTA miss	显卡涨价涨成这样，简直是price离谱	The graphics card prices have gone up so much that it's absolutely ridiculous.
B-NEO-089	NEO	5.73	xcomet_noisy 92.4 but NTA miss	无论从哪个层面来看，都是吊炸了	It's absolutely amazing from any perspective.
B-HOM-086	HOM	5.62	xcomet_noisy 93.5 but NTA miss	蛇：卧槽，怎么又是他	Snake: Hell, it's him again.
B-PYA-001	PYA	5.50	xcomet_noisy 83.0 but NTA miss	xql日常太甜了，羡慕死了	XQL is way too sweet in daily life, I'm really envious.
B-HOM-097	HOM	5.49	xcomet_noisy 91.0 but NTA miss	哈哈哈哈哈，不好意思哈哈哈哈哈没崩住	Hahaha, sorry hahaha couldn't hold back.
B-PYA-066	PYA	5.32	xcomet_noisy 92.5 but NTA miss	这图谁发明的，xswl	Who invented this picture, xswl
B-MIX-083	MIX	5.32	xcomet_noisy 90.3 but NTA miss	ddl就在眼前了还在摆烂	DDL is right around the corner, yet you're still slacking off.
B-MIX-145	NEO	5.21	xcomet_noisy 86.9 but NTA miss	甲亢哥：我DNA动了	Hyperthyroidism Brother: My DNA has changed
B-MIX-116	MIX	5.18	xcomet_noisy 84.4 but NTA miss	小时候我没有cp这个概念，一直认为这俩只是朋友	When I was a child, I didn't have the concept of a CP, and I always thought they were just friends.
B-HOM-048	HOM	5.12	xcomet_noisy 83.4 but NTA miss	赛里木湖这事整得灰常离谱	The incident at Sea Lake is extremely absurd.
B-NEO-020	NEO	5.03	xcomet_noisy 85.7 but NTA miss	公司要黄了的5个征兆，当公司开始严抓考勤，你该考虑润了	Five Signs That a Company Is in Trouble, When a Company Starts Strictly Enforcing Attendance Rules, You Should Consider Leaving
B-HOM-007	HOM	5.02	xcomet_noisy 92.3 but NTA miss	今天又是杯具的一天，出门忘带钥匙	Another day of mishaps, forgot my keys when leaving the house.
B-MIX-090	MIX	4.69	xcomet_noisy 87.8 but NTA miss	杨博文四代唯一C位队长	Yang Bowen, the only C-position captain of the fourth generation.
B-HOM-107	HOM	4.68	xcomet_noisy 96.3 but NTA miss	淦，为什么要让我凌晨刷到，睡不着觉了()	Darn, why did you make me scroll through this at midnight? I can't sleep anymore.()
B-NEO-037	NEO	4.41	xcomet_noisy 94.0 but NTA miss	显卡市场太内卷了，价格涨得离谱	The graphics card market is too cutthroat, with prices rising absurdly.
B-PYA-084	PYA	4.38	xcomet_noisy 86.5 but NTA miss	塔图姆NB	Tatum NB
B-PYA-094	PYA	4.32	xcomet_noisy 89.3 but NTA miss	无线能源是基于无线水的原理吗？(bushi)	Is wireless energy based on the principle of wireless water? (bushi)
B-PYA-013	PYA	4.27	xcomet_noisy 90.7 but NTA miss	8u们觉得这配置怎么样	What do you think of this configuration?
B-NEO-096	NEO	4.18	xcomet_noisy 91.1 but NTA miss	泪目，我一直不知道自己想做什么，感觉选择的大都错了，已经索性不想选择了...糟糕啊...	Tears in my eyes, I've never known what I want to do. It feels like most of my choices were wrong, and now I just don't want to choose anymore... Oh no...
B-PYA-089	PYA	4.13	xcomet_noisy 91.7 but NTA miss	md，这军方也这么乱，难怪市民们这么乐观，哈哈	MD, the military is also in such chaos, so it's no wonder the citizens are so optimistic. Haha.
B-HOM-045	HOM	4.01	xcomet_noisy 80.7 but NTA miss	中国女排这波直接丸辣，美国队不服不行	China's women's volleyball team's direct slap really left the American team with no choice but to admit defeat.
B-NEO-012	NEO	3.89	xcomet_noisy 86.4 but NTA miss	人一旦染上班味，这辈子就去不掉了	Once a person is infected with the virus of bad habits, it's impossible to get rid of it for the rest of their life.
B-HOM-061	HOM	3.87	xcomet_noisy 88.3 but NTA miss	我要笑亖了卧槽	I'm about to laugh my ass off, damn it.
B-HOM-115	HOM	3.87	xcomet_noisy 88.1 but NTA miss	活到老学到老,似了也要学习	Live to learn, and keep learning even when you think you've already learned everything.
B-NEO-005	NEO	3.78	xcomet_noisy 81.2 but NTA miss	别带节奏了，事情不是你想的那样	Don't start leading the rhythm; things aren't as you think they are.
B-HOM-021	HOM	3.56	xcomet_noisy 88.5 but NTA miss	沃草，这无人机表演太震撼了	Woca, this drone show was absolutely amazing!
B-NEO-061	NEO	3.26	xcomet_noisy 86.0 but NTA miss	他好会营业	He's really good at sales.
B-NEO-011	NEO	3.24	xcomet_noisy 90.0 but NTA miss	看到肯德基9.9的那一刻，我的班味瞬间就没了	The moment I saw KFC's 9.9 deal, my work-related fatigue instantly vanished.
B-MIX-074	MIX	3.23	xcomet_noisy 86.7 but NTA miss	我的文化水平belike	My cultural level is like this.
B-MIX-062	MIX	3.21	xcomet_noisy 98.7 but NTA miss	这个PK谁赢了	Who won this PK?
B-NEO-108	NEO	3.19	xcomet_noisy 80.7 but NTA miss	一想到一睁眼就有倒计时就难绷	The moment I think about the countdown starting as soon as I open my eyes, I can't hold back.
B-PYA-096	PYA	3.15	xcomet_noisy 95.8 but NTA miss	这么说我才发现字幕不是视频自带的hhhh	So I just realized the subtitles aren't part of the video itself hhhhh
B-PYA-005	PYA	3.14	xcomet_noisy 90.6 but NTA miss	看到别人去欧洲旅游的照片，xmsl	Seeing photos of others traveling to Europe, xmsl
B-PYA-097	PYA	3.12	xcomet_noisy 90.8 but NTA miss	完了疑似吉米被吓疯了hh	It seems Jimmy was scared out of his mind.
B-PYA-037	PYA	3.07	xcomet_noisy 95.1 but NTA miss	jrs帮我看看这鱼竿行不行	Can you check if this fishing rod is good?
B-PYA-020	PYA	3.06	xcomet_noisy 86.0 but NTA miss	jrs怎么看腾讯这个泄密处理？	How does JRS view Tencent's handling of the leak?
B-MIX-143	MIX	3.05	xcomet_noisy 90.2 but NTA miss	他和背后的 n pc 格格不入	He doesn't fit in with the n PCs behind him.
B-HOM-085	HOM	3.01	xcomet_noisy 100.0 but NTA miss	此人知识面级广	This person has a broad range of knowledge.
B-HOM-104	HOM	2.81	xcomet_noisy 81.3 but NTA miss	真旅行青蛙！  去哪了 会给麻麻带明信片回来  真好	Real traveling frog! Where did you go? You'll bring a postcard back for Mama. That's great.
B-NEO-110	NEO	2.74	xcomet_noisy 91.2 but NTA miss	泪目了，米哈游你坏事做尽	I'm crying, MiHoYo, you've done all sorts of bad things.
B-MIX-076	MIX	2.63	xcomet_noisy 97.9 but NTA miss	店员花一秒钟get到你的意思了	The staff understood your meaning in a second.
B-PYA-039	PYA	2.50	xcomet_noisy 92.8 but NTA miss	bdjw这个怎么用	How do I use bdjw?
B-PYA-107	PYA	2.38	xcomet_noisy 91.5 but NTA miss	心灵感应原版就是致敬火花hhh	The original version of telepathy is a tribute to Spark hhh
B-NEO-002	NEO	2.33	xcomet_noisy 93.9 but NTA miss	我们不是供人围观的工具人！	We are not mere spectators for people to watch!
B-HOM-131	HOM	2.19	xcomet_noisy 81.6 but NTA miss	密码的，很久没笑得这么无语了	Password-related, I haven't been this speechless for a long time.
B-HOM-092	HOM	2.14	xcomet_noisy 83.5 but NTA miss	鸡本功扎实	Chicken's foundation is solid.
B-PYA-088	PYA	1.99	xcomet_noisy 93.8 but NTA miss	不是，我TM哪来的教材，你在逗我呢	No, I don't have any textbooks, you're kidding me.
B-HOM-130	HOM	1.99	xcomet_noisy 95.4 but NTA miss	哎你怎么似了	Hey, what's wrong with you?
B-PYA-092	PYA	1.95	xcomet_noisy 97.2 but NTA miss	woc太萌了	Woc is too cute.
